status,experiment,gene,condition,animal,sample_id,z_planes,height,width,plane_objects,global_3d_objects,single_plane_objects,stitch_links,nuclear_image,output_dir,completed_at_utc,maximum_z_planes_per_object,median_z_planes_per_object,p95_z_planes_per_object,sample_path,script_version,stitch_threshold,tracking_backend
completed,306,wnt1,6hr_Incision,Image2,306__6hr_Incision__Image2,71,2488,4560,39841,4122,574,35719,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Incision/Image2/405/6hr_Incision_Image2_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Incision/Image2/565/results/cellpose_label,2026-08-23T22:54:29.512545+00:00,54,9.0,22.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Incision/Image2,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,6hr_Incision,Image3,306__6hr_Incision__Image3,100,3882,5478,115436,11503,1825,103933,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Incision/Image3/405/6hr_Incision_Image3_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Incision/Image3/565/results/cellpose_label,2026-08-24T02:45:30.027615+00:00,67,9.0,25.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Incision/Image3,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,12hr_Amputation,Image1,306__12hr_Amputation__Image1,31,5478,9900,59608,10171,2311,49437,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Amputation/Image1/405/12hr_Amputation_Image1_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Amputation/Image1/565/results/cellpose_label,2026-08-22T08:23:48.923664+00:00,31,4.0,17.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Amputation/Image1,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,12hr_Amputation,Image2,306__12hr_Amputation__Image2,43,5208,8112,92174,11065,1818,81109,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Amputation/Image2/405/12hr_Amputation_Image2_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Amputation/Image2/565/results/cellpose_label,2026-08-24T06:08:52.749163+00:00,43,7.0,21.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Amputation/Image2,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,12hr_Amputation,Image3,306__12hr_Amputation__Image3,42,5070,9432,93950,12764,2070,81186,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Amputation/Image3/405/12hr_Amputation_Image3_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Amputation/Image3/565/results/cellpose_label,2026-08-24T09:41:45.212271+00:00,42,7.0,18.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Amputation/Image3,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,12hr_Incision,Image1,306__12hr_Incision__Image1,67,3314,3649,42652,4100,563,38552,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Incision/Image1/405/12hr_Incision_Image1_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Incision/Image1/565/results/cellpose_label,2026-08-24T11:07:32.127050+00:00,52,10.0,24.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Incision/Image1,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,12hr_Incision,Image2,306__12hr_Incision__Image2,83,2316,4632,49728,4957,737,44771,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Incision/Image2/405/12hr_Incision_Image2_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Incision/Image2/565/results/cellpose_label,2026-08-24T12:39:24.572615+00:00,56,9.0,24.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Incision/Image2,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,12hr_Incision,Image3,306__12hr_Incision__Image3,87,3036,3942,60818,5730,854,55088,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Incision/Image3/405/12hr_Incision_Image3_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Incision/Image3/565/results/cellpose_label,2026-08-24T14:31:42.207834+00:00,61,9.0,26.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Incision/Image3,1.1.3,0.25,cellpose.utils.stitch3D
completed,307,wnt1,24h_Agarose,Image1,307__24h_Agarose__Image1,48,3318,5310,27989,4573,1245,23416,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Agarose/Image1/405/Image1_405.tif,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Agarose/Image1/565/results/cellpose_label,2026-08-24T15:58:45.562470+00:00,45,4.0,19.0,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Agarose/Image1,1.1.3,0.25,cellpose.utils.stitch3D
completed,307,wnt1,24h_Agarose,Image2,307__24h_Agarose__Image2,38,2664,5430,32378,3764,578,28614,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Agarose/Image2/405/Image2_405.tif,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Agarose/Image2/565/results/cellpose_label,2026-08-24T16:58:21.923668+00:00,38,8.0,22.0,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Agarose/Image2,1.1.3,0.25,cellpose.utils.stitch3D
completed,307,wnt1,24h_Agarose,Image3,307__24h_Agarose__Image3,65,3072,4936,56008,6066,1078,49942,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Agarose/Image3/405/Image3_405.tif,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Agarose/Image3/565/results/cellpose_label,2026-08-24T18:48:16.972752+00:00,63,7.0,26.0,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Agarose/Image3,1.1.3,0.25,cellpose.utils.stitch3D
completed,307,wnt1,24h_Agarose,Image4,307__24h_Agarose__Image4,44,3144,4794,38788,5994,1329,32794,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Agarose/Image4/405/Image4_405.tif,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Agarose/Image4/565/results/cellpose_label,2026-08-24T20:00:07.445248+00:00,44,5.0,18.0,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Agarose/Image4,1.1.3,0.25,cellpose.utils.stitch3D
completed,307,wnt1,24h_Amputation,Image1,307__24h_Amputation__Image1,27,3774,10416,42816,6925,1409,35891,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Amputation/Image1/405/Image1_405.tif,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Amputation/Image1/565/results/cellpose_label,2026-08-24T21:52:19.306110+00:00,27,5.0,17.0,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Amputation/Image1,1.1.3,0.25,cellpose.utils.stitch3D
completed,307,wnt1,24h_Amputation,Image2,307__24h_Amputation__Image2,22,3902,11562,53562,7871,1326,45691,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Amputation/Image2/405/Image2_405.tif,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Amputation/Image2/565/results/cellpose_label,2026-08-24T23:40:16.736082+00:00,22,6.0,18.0,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Amputation/Image2,1.1.3,0.25,cellpose.utils.stitch3D
completed,307,wnt1,24h_Amputation,Image3,307__24h_Amputation__Image3,27,3756,9344,37076,7621,1842,29455,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Amputation/Image3/405/Image3_405.tif,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Amputation/Image3/565/results/cellpose_label,2026-08-25T01:18:37.821577+00:00,27,4.0,13.0,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Amputation/Image3,1.1.3,0.25,cellpose.utils.stitch3D
completed,307,wnt1,24h_Amputation,Image4,307__24h_Amputation__Image4,24,3744,9584,30980,7151,2059,23829,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Amputation/Image4/405/Image4_405.tif,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Amputation/Image4/565/results/cellpose_label,2026-08-25T02:48:58.576616+00:00,24,3.0,12.0,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Amputation/Image4,1.1.3,0.25,cellpose.utils.stitch3D
completed,307,wnt1,24h_Incision,Image1,307__24h_Incision__Image1,66,3704,5506,66501,8140,1524,58361,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Incision/Image1/405/Image1_405.tif,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Incision/Image1/565/results/cellpose_label,2026-08-25T05:14:11.649124+00:00,62,7.0,22.0,/Volumes/Backup Plus/Experiment_results/307_analysis_resutls/307_quantificatoin/Experiment/24h_Incision/Image1,1.1.3,0.25,cellpose.utils.stitch3D
